unit,cycle,day,fault_mode,severity_level,avg_detectivity,NETD_mK,SiTF,signal_gain,read_noise_index,label
IRCLT-0461,1,0,bad_pixel_degradation,degraded,24701297436.652782,16.289389048315265,0.9716320912962152,0.9716320912962152,0.9981133117390912,bad_pixel_degradation
IRCLT-0461,2,4,bad_pixel_degradation,degraded,24302613888.238087,17.03872949115132,0.9811774460852902,0.9811774460852902,0.9902759311342868,bad_pixel_degradation
IRCLT-0461,3,9,bad_pixel_degradation,degraded,24878563241.97341,17.693092272241866,0.956281742792807,0.956281742792807,1.0137951494791222,bad_pixel_degradation
IRCLT-0461,4,14,bad_pixel_degradation,degraded,25028068283.35838,17.200551963584427,0.9576110685109795,0.9576110685109795,1.010679862855868,bad_pixel_degradation
IRCLT-0461,5,19,bad_pixel_degradation,degraded,25498145765.766468,16.386414838221192,0.9684060347865814,0.9684060347865814,1.023965436383265,bad_pixel_degradation
IRCLT-0461,6,23,bad_pixel_degradation,degraded,23303929579.24221,16.753597454467965,0.9761586216643116,0.9761586216643116,1.014752548067592,bad_pixel_degradation
IRCLT-0461,7,24,bad_pixel_degradation,degraded,25924859270.839863,16.980782712047347,0.953168705724476,0.953168705724476,1.0023419966818734,bad_pixel_degradation
IRCLT-0461,8,29,bad_pixel_degradation,degraded,25720271100.52817,16.276032800654445,0.9767417098772876,0.9767417098772876,1.0051681675917907,bad_pixel_degradation
IRCLT-0461,9,32,bad_pixel_degradation,degraded,24648991222.358067,16.418676314214295,0.9690414870442928,0.9690414870442928,1.0258014222996197,bad_pixel_degradation
IRCLT-0461,10,37,bad_pixel_degradation,degraded,23910726113.294064,17.521182604628184,0.9863377130412878,0.9863377130412878,1.0160472457273242,bad_pixel_degradation
IRCLT-0461,11,38,bad_pixel_degradation,degraded,23453012500.083878,16.87262079389138,0.9566538361115584,0.9566538361115584,1.0159336743949456,bad_pixel_degradation
IRCLT-0461,12,39,bad_pixel_degradation,degraded,25807460960.84233,16.154978602347082,1.0011830642884514,1.0011830642884514,0.9960370909654104,bad_pixel_degradation
IRCLT-0461,13,41,bad_pixel_degradation,degraded,24135723943.826885,16.295762255902797,0.9438374185308592,0.9438374185308592,1.015775534925389,bad_pixel_degradation
IRCLT-0461,14,44,bad_pixel_degradation,degraded,24360355131.52688,17.432451413206294,0.9707257190008453,0.9707257190008453,1.0128167090856564,bad_pixel_degradation
IRCLT-0461,15,45,bad_pixel_degradation,degraded,24966947170.16829,16.573623821797938,0.9671357765057154,0.9671357765057154,1.0078529738148396,bad_pixel_degradation
IRCLT-0461,16,50,bad_pixel_degradation,degraded,24496113665.359383,17.929847633897726,0.9562909321569896,0.9562909321569896,1.0276275493383942,bad_pixel_degradation
IRCLT-0461,17,51,bad_pixel_degradation,degraded,25317910691.68107,16.791818081665856,0.9432500404965338,0.9432500404965338,1.031357162750244,bad_pixel_degradation
IRCLT-0461,18,54,bad_pixel_degradation,degraded,24958190773.042667,16.80730068392857,0.9323493728849526,0.9323493728849526,1.036554656477542,bad_pixel_degradation
IRCLT-0461,19,59,bad_pixel_degradation,degraded,26307795930.660217,17.563427112979436,0.9496662746963954,0.9496662746963954,1.0218282900545153,bad_pixel_degradation
IRCLT-0461,20,61,bad_pixel_degradation,degraded,23452545764.31168,18.518705222067304,0.9405508969381896,0.9405508969381896,1.044679445041253,bad_pixel_degradation
IRCLT-0461,21,62,bad_pixel_degradation,degraded,24339230396.279408,18.44993998512628,0.9339245253706024,0.9339245253706024,1.047066591147513,bad_pixel_degradation
IRCLT-0461,22,65,bad_pixel_degradation,degraded,23489552014.77988,17.509986883169006,0.9721220553903814,0.9721220553903814,1.0156845201283629,bad_pixel_degradation
IRCLT-0461,23,68,bad_pixel_degradation,degraded,24086796733.793587,17.15006385488757,0.9707689374314852,0.9707689374314852,1.0331549294922362,bad_pixel_degradation
IRCLT-0461,24,69,bad_pixel_degradation,degraded,24936676468.89326,17.84186477932401,0.9259571833140888,0.9259571833140888,1.030020882466755,bad_pixel_degradation
IRCLT-0461,25,71,bad_pixel_degradation,degraded,23604910494.730984,16.88983834959367,0.9458155976173626,0.9458155976173626,1.0323112058339114,bad_pixel_degradation
IRCLT-0461,26,72,bad_pixel_degradation,degraded,24811501831.04853,16.87048975068763,0.9347122440100704,0.9347122440100704,1.0242843150180674,bad_pixel_degradation
IRCLT-0461,27,77,bad_pixel_degradation,degraded,26409321239.973488,17.945450629168032,0.9703980205314128,0.9703980205314128,1.0326647272511078,bad_pixel_degradation
IRCLT-0461,28,82,bad_pixel_degradation,degraded,25187907384.12884,17.256360208979086,0.9628583276625384,0.9628583276625384,1.0277350734722772,bad_pixel_degradation
IRCLT-0461,29,87,bad_pixel_degradation,degraded,25703793699.55588,17.213363127191343,0.9859451426509616,0.9859451426509616,1.0228050949949652,bad_pixel_degradation
IRCLT-0461,30,92,bad_pixel_degradation,degraded,24509123671.585,17.169224863280707,0.9599084584875364,0.9599084584875364,1.032578884976144,bad_pixel_degradation
IRCLT-0461,31,93,bad_pixel_degradation,degraded,23260872748.17513,18.478129426259954,0.9208935738144476,0.9208935738144476,1.055990575963408,bad_pixel_degradation
IRCLT-0461,32,96,bad_pixel_degradation,degraded,24696657803.236828,17.53558293179011,0.9346053707574468,0.9346053707574468,1.0430507821660082,bad_pixel_degradation
IRCLT-0461,33,99,bad_pixel_degradation,degraded,24790045517.763096,17.34086869138217,0.940532054908377,0.940532054908377,1.043879214741939,bad_pixel_degradation
IRCLT-0461,34,103,bad_pixel_degradation,degraded,21085161829.09791,18.174130209398044,0.9413734782359942,0.9413734782359942,1.0542079921449838,bad_pixel_degradation
IRCLT-0461,35,107,bad_pixel_degradation,degraded,23327398298.99844,18.25393350768559,0.9295045430754936,0.9295045430754936,1.0505294514753036,bad_pixel_degradation
IRCLT-0461,36,112,bad_pixel_degradation,degraded,23353395147.433243,17.670397461575483,0.8992533790650464,0.8992533790650464,1.071664510724892,bad_pixel_degradation
IRCLT-0461,37,117,bad_pixel_degradation,degraded,24647396248.350403,18.20221891151412,0.909720187965512,0.909720187965512,1.0647656034213404,bad_pixel_degradation
IRCLT-0461,38,120,bad_pixel_degradation,degraded,21523432947.63232,18.12160531370336,0.9273762253727996,0.9273762253727996,1.050463250076452,bad_pixel_degradation
IRCLT-0461,39,121,bad_pixel_degradation,degraded,22036751711.98987,18.53051665700324,0.9102729830414852,0.9102729830414852,1.0474810354271986,bad_pixel_degradation
IRCLT-0461,40,125,bad_pixel_degradation,degraded,23491063407.39981,17.100865475918155,0.962792581366336,0.962792581366336,1.0291973730857618,bad_pixel_degradation
IRCLT-0461,41,127,bad_pixel_degradation,degraded,24197716989.208443,18.00023389482342,0.9442873652630552,0.9442873652630552,1.0501826922280653,bad_pixel_degradation
IRCLT-0461,42,131,bad_pixel_degradation,degraded,23668974405.477283,18.051917733560224,0.9242876790662368,0.9242876790662368,1.0490235026271573,bad_pixel_degradation
IRCLT-0461,43,135,bad_pixel_degradation,degraded,22047559717.06496,18.665678703647977,0.9332212054201204,0.9332212054201204,1.0607490585270591,bad_pixel_degradation
IRCLT-0461,44,136,bad_pixel_degradation,degraded,24427570834.045254,17.418533270909833,0.9489183611313212,0.9489183611313212,1.0267214659815758,bad_pixel_degradation
IRCLT-0461,45,140,bad_pixel_degradation,degraded,23231736236.99012,17.621079734879583,0.8996900241076393,0.8996900241076393,1.0789951825166644,bad_pixel_degradation
IRCLT-0461,46,144,bad_pixel_degradation,degraded,23488063370.215805,18.141197089898174,0.9125278146725562,0.9125278146725562,1.0841897945155827,bad_pixel_degradation
IRCLT-0461,47,146,bad_pixel_degradation,degraded,25091779854.9788,18.19962996418296,0.9304186154153368,0.9304186154153368,1.0515346896550632,bad_pixel_degradation
IRCLT-0461,48,151,bad_pixel_degradation,degraded,23450230903.047844,18.542123094462703,0.92037474021633,0.92037474021633,1.0648402260374683,bad_pixel_degradation
IRCLT-0461,49,154,bad_pixel_degradation,degraded,22577382233.874245,17.780137816387793,0.9053464921104404,0.9053464921104404,1.0604820556195589,bad_pixel_degradation
IRCLT-0461,50,159,bad_pixel_degradation,degraded,22870990982.803715,18.28183577224359,0.8753330699927224,0.8753330699927224,1.07197985012587,bad_pixel_degradation
IRCLT-0461,51,164,bad_pixel_degradation,degraded,23851740301.13897,18.530046694721232,0.9353277067189806,0.9353277067189806,1.0518827964384805,bad_pixel_degradation
