work_cycle,T_stable_K,t_cool_hours,sigma_T_K,group_id
771,79.77930845504719,1.383180191330237,2.394336011485725,4
772,79.7793085912295,1.386452676089225,2.3969941246093067,4
773,79.77930872510295,1.389733187072841,2.399652237732889,4
774,79.77930885670668,1.3930217441483597,2.402310350856471,4
775,79.77930898607919,1.3963183672323445,2.404968463980053,4
776,79.77930911325828,1.3996230762907713,2.4076265771036347,4
777,79.77930923828116,1.402935891339151,2.4102846902272166,4
778,79.77930936118437,1.406256832442652,2.4129428033507985,4
779,79.77930948200388,1.4095859197162235,2.4156009164743804,4
780,79.77930960077498,1.4129231733247196,2.4182590295979622,4
781,79.77930971753241,1.416268613483023,2.420917142721544,4
782,79.77930983231032,1.4196222604561686,2.423575255845126,4
783,79.77930994514226,1.4229841345594683,2.4262333689687083,4
784,79.77931005606123,1.4263542561586369,2.42889148209229,4
785,79.77931016509966,1.4297326456699149,2.431549595215872,4
786,79.77931027228944,1.4331193235601962,2.434207708339454,4
787,79.77931037766189,1.4365143103471536,2.436865821463036,4
788,79.77931048124783,1.4399176265993618,2.4395239345866178,4
789,79.77931058307757,1.4433292929364288,2.4421820477101996,4
790,79.77931068318087,1.446749330029118,2.4448401608337815,4
791,79.779310781587,1.4501777585994786,2.4474982739573634,4
792,79.77931087832474,1.45361459942097,2.4501563870809457,4
793,79.77931097342235,1.4570598733185918,2.4528145002045276,4
794,79.77931106690768,1.4605136011690096,2.4554726133281095,4
795,79.77931115880804,1.463975803900687,2.458130726451692,4
796,79.7793112491503,1.467446502494008,2.4607888395752737,4
797,79.77931133796088,1.4709257179814124,2.4634469526988556,4
798,79.77931142526575,1.4744134714475208,2.4661050658224375,4
799,79.77931151109043,1.477909784029266,2.4687631789460194,4
800,79.77931159546003,1.4814146769160215,2.4714212920696013,4
