work_cycle,T_stable_K,t_cool_hours,sigma_T_K,group_id
0,75.50885666791125,0.24561648241409245,0.34493079320404585,4
1,75.58125881731833,0.24612530881388808,0.3475889063276278,4
2,75.65243344756816,0.2466353368698101,0.35024701945120973,4
3,75.72240137024288,0.24714656952768863,0.35290513257479167,4
4,75.79118304408135,0.2476590097406449,0.35556324569837366,4
5,75.85879858096122,0.24817266046910907,0.3582213588219556,4
6,75.92526775177974,0.2486875246808385,0.3608794719455375,4
7,75.99060999223481,0.24920360535093583,0.36353758506911943,4
8,76.05484440850793,0.24972090546186732,0.36619569819270137,4
9,76.11798978285101,0.25023942800348103,0.36885381131628336,4
10,76.18006457907819,0.2507591759730251,0.3715119244398653,4
11,76.2410869479648,0.25128015237516627,0.37417003756344724,4
12,76.30107473255462,0.2518023602220081,0.3768281506870292,4
13,76.36004547337726,0.2523258025331096,0.3794862638106111,4
14,76.41801641357698,0.25285048233550345,0.38214437693419306,4
15,76.47500450395466,0.25337640266371486,0.384802490057775,4
16,76.53102640792424,0.2539035665597801,0.387460603181357,4
17,76.58609850638513,0.25443197707326476,0.39011871630493894,4
18,76.64023690251196,0.25496163726128296,0.3927768294285208,4
19,76.69345742646327,0.25549255018851585,0.39543494255210276,4
20,76.7457756400102,0.2560247189272303,0.3980930556756847,4
21,76.79720684108678,0.2565581465572977,0.4007511687992667,4
22,76.84776606826316,0.25709283616621303,0.40340928192284864,4
23,76.89746810514279,0.2576287908491137,0.4060673950464306,4
24,76.94632748468526,0.25816601370879844,0.4087255081700125,4
25,76.99435849345569,0.25870450785574617,0.41138362129359446,4
26,77.04157517580225,0.2592442764081356,0.4140417344171764,4
27,77.08799133796263,0.25978532249186354,0.4166998475407583,4
28,77.13362055210109,0.2603276492405647,0.41935796066434033,4
29,77.17847616027697,0.2608712597956306,0.4220160737879223,4
30,77.22257127834588,0.2614161573062289,0.42467418691150416,4
31,77.26591879979487,0.26196234492932263,0.4273323000350861,4
32,77.30853139951249,0.26250982582968957,0.42999041315866804,4
33,77.35042153749488,0.26305860317994156,0.43264852628225003,4
34,77.3916014624892,0.2636086801605442,0.435306639405832,4
35,77.43208321557509,0.2641600599598358,0.4379647525294139,4
36,77.47187863368559,0.26471274577404763,0.44062286565299585,4
37,77.51099935306819,0.26526674080732293,0.4432809787765778,4
38,77.54945681268735,0.26582204827173667,0.44593909190015973,4
39,77.58726225756925,0.2663786713873154,0.4485972050237416,4
40,77.62442674208988,0.2669366133820569,0.45125531814732356,4
41,77.66096113320731,0.26749587749194975,0.4539134312709056,4
42,77.69687611363925,0.2680564669609936,0.4565715443944875,4
43,77.73218218498667,0.2686183850412185,0.45922965751806943,4
44,77.76688967080449,0.2691816349927053,0.4618877706416514,4
45,77.80100871962021,0.2697462200836053,0.46454588376523337,4
46,77.83454930790138,0.27031214359016054,0.4672039968888153,4
47,77.86752124297271,0.2708794087967236,0.46986211001239725,4
48,77.8999341658837,0.2714480189957778,0.4725202231359792,4
49,77.93179755422781,0.27201797748795764,0.47517833625956113,4
50,77.96312072491364,0.2725892875820687,0.47783644938314307,4
51,77.99391283688921,0.2731619525951079,0.48049456250672495,4
52,78.02418289382013,0.27373597585228415,0.4831526756303069,4
53,78.05393974672218,0.2743113606870384,0.4858107887538889,4
54,78.08319209654944,0.27488811044106415,0.48846890187747083,4
55,78.11194849673844,0.2754662284643281,0.49112701500105277,4
56,78.14021735570918,0.27604571811509054,0.4937851281246347,4
57,78.16800693932382,0.2766265827599256,0.49644324124821665,4
58,78.19532537330355,0.2772088257737427,0.49910135437179864,4
59,78.22218064560464,0.27779245053980617,0.5017594674953806,4
60,78.2485806087541,0.2783774604497571,0.5044175806189625,4
61,78.27453298214576,0.2789638589036332,0.5070756937425445,4
62,78.30004535429745,0.27955164930989,0.5097338068661263,4
63,78.32512518506994,0.280140835085422,0.5123919199897083,4
64,78.34977980784808,0.280731419655583,0.5150500331132902,4
65,78.37401643168528,0.28132340645420767,0.5177081462368722,4
66,78.3978421434113,0.28191679892363225,0.5203662593604542,4
67,78.42126390970448,0.28251160051471563,0.5230243724840361,4
68,78.4442885791289,0.28310781468686097,0.5256824856076181,4
69,78.4669228841368,0.28370544490803606,0.5283405987312001,4
