unit,cycle,day,fault_mode,severity_level,avg_detectivity,NETD_mK,SiTF,signal_gain,read_noise_index,sensitivity_health,MTF50,MTF_Nyquist,mtf_quality,defocus_index,low_pass_cutoff_ratio,bad_pixel_rate,random_bad_pixel_rate,cluster_bad_pixel_rate,row_col_defect_rate,response_nonuniformity,PRNU,DSNU,FPN_index,stripe_noise_index,image_quality_health,physical_degradation_index,label
IRCLT-0341,1,0,nonuniformity_degradation,degraded,24039978042.85507,14.3102187621765,1.0331912658730762,1.0331912658730762,0.99026063012828,1.0098351581143423,0.6903083622439922,0.6151701596842631,0.9961725663348708,0.0,1.003642552825391,0.0001984351405573,0.0001984351405573,0.0,0.0,0.0457787238587365,0.0421710527071156,0.0165107721706964,0.0185868540680994,0.0039733260055973,0.9990489809617542,0.0,nonuniformity_degradation
IRCLT-0341,2,1,nonuniformity_degradation,degraded,24818402482.5478,15.200064367657882,1.0083488460749537,1.0083488460749537,1.011716435078566,0.9884192500266578,0.6902155516582492,0.6208160769155628,0.996982955176816,0.0,1.01461318170988,0.0001717975321132,0.0001717975321132,0.0,0.0,0.0493088245192195,0.045971063043737,0.0167471410847645,0.031263732695945,0.0020204755014057,0.9947034034431624,0.0070651462828972,nonuniformity_degradation
IRCLT-0341,3,6,nonuniformity_degradation,degraded,23610617230.34866,14.99241456925558,1.0171329318091848,1.0171329318091848,1.0033228357692228,0.9966881689016126,0.6924251637368417,0.6360461626592991,0.9966234230103344,0.0093530432129964,0.9968970117608024,0.0002101584525505,0.0002101584525505,0.0,0.0,0.0497504223723069,0.0465530602837365,0.0177631227142802,0.034012281914584,0.0,0.9941050666523824,0.0035535506659405,nonuniformity_degradation
IRCLT-0341,4,11,nonuniformity_degradation,degraded,22882630274.874126,14.761336446255376,1.0202773469987922,1.0202773469987922,1.0093489745839015,0.9907376191789808,0.6854042895981024,0.6259764640853513,1.016405041008324,0.0,1.0132782300986571,0.0002252250385377,0.0002252250385377,0.0,0.0,0.0525177843170304,0.0486892962138409,0.0191852185741721,0.0428855635663083,0.0023446797489907,0.9905776458969155,0.0074658953055382,nonuniformity_degradation
IRCLT-0341,5,16,nonuniformity_degradation,degraded,23048170642.613155,14.377087532127,0.9910974092615707,0.9910974092615707,0.9971161265558908,1.0028922142239045,0.6986995455402126,0.6218616172599343,0.9865873021338716,0.0,1.0065839650302528,0.0002394280692793,0.0002394280692793,0.0,0.0,0.0574182162786428,0.0508782629713988,0.0212951625597951,0.0541135765645988,0.0169176502905058,0.9843042065068972,0.0041920313218291,nonuniformity_degradation
IRCLT-0341,6,21,nonuniformity_degradation,degraded,23026293952.49576,14.171384142200166,1.0023403814018068,1.0023403814018068,1.0161571066210602,0.9840997946914076,0.7124346111310093,0.6152192982966036,0.992234334114936,0.0242499878161977,0.9826264469515416,0.0002574041812837,0.0002574041812837,0.0,0.0,0.0570869943907402,0.0535894553160615,0.0194307726371042,0.0591920871149106,0.0,0.9846382148832274,0.012531717179737,nonuniformity_degradation
IRCLT-0341,7,26,nonuniformity_degradation,degraded,24987746530.41603,14.389136611802847,1.0189854162072265,1.0189854162072265,0.983638797188814,1.0166333443312172,0.7039242886631167,0.603508415088586,0.9770473038568618,0.019608548393942,0.9976933403478055,0.0002620084112146,0.0002620084112146,0.0,0.0,0.057777242879865,0.0543866767759339,0.0188364783551726,0.0612347047929468,0.0,0.9837334992224877,0.0,nonuniformity_degradation
IRCLT-0341,8,30,nonuniformity_degradation,degraded,23798308937.81473,13.654689799888686,0.9782141697509984,0.9782141697509984,1.0135125423709035,0.986667612085694,0.695512395811313,0.6287573500826789,0.9779186007999988,0.0108400648803857,1.0087477749095504,0.0002880230355675,0.0002880230355675,0.0,0.0,0.0581260584021085,0.0530080436407504,0.0217984970612221,0.0605991322588756,0.0074642830646128,0.983158315968026,0.0118941639726286,nonuniformity_degradation
IRCLT-0341,9,32,nonuniformity_degradation,degraded,21402324737.38869,14.768970176269756,0.982828826118532,0.982828826118532,1.0237156953759643,0.976833709316868,0.6613296040757749,0.5917096872327984,0.9686970996059608,0.0309852676053211,1.0059557458768704,0.0002861195172878,0.0002861195172878,0.0,0.0,0.0604673130168135,0.0560201911312892,0.0237246804600917,0.0718690229943543,0.0011042462669232,0.980154740961252,0.0173706714709711,nonuniformity_degradation
IRCLT-0341,10,37,nonuniformity_degradation,degraded,24336992486.86552,14.855321167827196,0.9912023290088068,0.9912023290088068,1.0170604048818224,0.9832257702689696,0.6869409552880882,0.6209868304293239,0.978982177617389,0.0251397295264559,0.9961525770973346,0.0002984137696024,0.0002984137696024,0.0,0.0,0.0615169800240472,0.0564791548383033,0.0208696546063987,0.0712738829620861,0.0080080459787008,0.97873432431011,0.0149913898704252,nonuniformity_degradation
IRCLT-0341,11,39,nonuniformity_degradation,degraded,23394549063.461613,14.821998727808738,0.9857737342774836,0.9857737342774836,1.026184994967967,0.97448316327332,0.6811888491284026,0.6087633272553179,0.9748340761920908,0.0350769115991803,0.9847254462871275,0.000286395488434,0.000286395488434,0.0,0.0,0.0632160644028354,0.0585723685575892,0.0204821259139258,0.0776070896436489,0.0059807073796223,0.9765801505000428,0.0196795238519911,nonuniformity_degradation
IRCLT-0341,12,41,nonuniformity_degradation,degraded,24025567865.84557,14.660869888039496,0.9924726012059178,0.9924726012059178,1.015085070432706,0.9851391071821444,0.6847670417574683,0.6203698163619971,0.979352182595508,0.022245617540544,1.0017594007917667,0.0003210003389101,0.0003210003389101,0.0,0.0,0.0643225333480089,0.060359991293465,0.0220141225252442,0.0844329712916877,0.0,0.9749609249265454,0.0154510780437442,nonuniformity_degradation
IRCLT-0341,13,46,nonuniformity_degradation,degraded,25457964877.16883,14.770892385874587,1.0159978814881618,1.0159978814881618,1.0048849769280064,0.9951387700680528,0.6771642008931175,0.6026270001486893,0.9605261903675288,0.0315011576256874,0.977762912116256,0.0003134152795522,0.0003134152795522,0.0,0.0,0.0630273765818233,0.0586424297156694,0.0243608159230776,0.0811353798921967,0.0,0.9766939351450205,0.010344676168619,nonuniformity_degradation
IRCLT-0341,14,51,nonuniformity_degradation,degraded,21711126378.162064,15.387852339855582,1.0037540683078068,1.0037540683078068,1.023348036500931,0.977184656961122,0.6996959995506749,0.6236877234724658,0.9860091145775188,0.0139645034526028,0.9961977289180316,0.0003351420543366,0.0003351420543366,0.0,0.0,0.0678275338018251,0.0644345732625972,0.0188497807734878,0.0947414542042197,0.0,0.9702578896251738,0.0206766429986844,nonuniformity_degradation
IRCLT-0341,15,55,nonuniformity_degradation,degraded,22020403623.93333,15.088663861749486,0.9484877124614473,0.9484877124614473,1.05554888018729,0.9473744122797668,0.6872218691071762,0.5994011553420723,0.9603505662560512,0.0628561492266533,0.9913572333820008,0.0003525087553473,0.0003525087553473,0.0,0.0,0.0687188984142997,0.0642115973728676,0.0240824009633968,0.0995406082583412,0.0010779304251288,0.9689841181164848,0.0345370731333352,nonuniformity_degradation
IRCLT-0341,16,56,nonuniformity_degradation,degraded,23037814030.73356,14.930684613848562,1.0011199818177694,1.0011199818177694,1.009062315075642,0.9910190729152712,0.6826122344632417,0.5824588767051968,0.9590783848173604,0.0289209562417789,0.9950547943273984,0.0003239991266547,0.0003239991266547,0.0,0.0,0.0680972548567966,0.0637943376979325,0.0239050953270225,0.0978369714003732,0.0,0.9699529513742507,0.0145578842071401,nonuniformity_degradation
IRCLT-0341,17,57,nonuniformity_degradation,degraded,21708983923.44097,15.833665397989153,0.971624366940444,0.971624366940444,1.0427732404097998,0.9589812638527332,0.6841763871228276,0.6080984885714121,0.9600234136238438,0.0312063013841162,0.9880139196735628,0.0003735336277218,0.0003735336277218,0.0,0.0,0.0678420537523059,0.0634683415720239,0.0242984010015667,0.0971571855865282,0.0,0.970050999491826,0.028940581444131,nonuniformity_degradation
IRCLT-0341,18,58,nonuniformity_degradation,degraded,22324239152.1685,14.526834916749625,0.987746758700105,0.987746758700105,1.0231016858239996,0.9774199513654463,0.7001682318250798,0.6070923194917522,0.9552223922216694,0.0386571924775622,0.9743617678625256,0.000331943279477,0.000331943279477,0.0,0.0,0.0701047417977273,0.0647580230123484,0.0263056019189477,0.1039913212930376,0.0038231902498017,0.9672270197742422,0.0216315649645644,nonuniformity_degradation
IRCLT-0341,19,61,nonuniformity_degradation,degraded,25125496807.89252,14.51364190712378,0.96740524627041,0.96740524627041,1.0177160254475306,0.982592368593449,0.6902010336291207,0.5904844396562349,0.9719028131577196,0.0381990940648295,0.9757822162820646,0.0003584263777417,0.0003584263777417,0.0,0.0,0.0708384718199241,0.0660082858401322,0.0242211217019045,0.1058965104322104,0.0029399004590572,0.9661104363967932,0.0196947813940704,nonuniformity_degradation
IRCLT-0341,20,63,nonuniformity_degradation,degraded,21355614113.01978,14.967860936956788,0.9459731735291488,0.9459731735291488,1.0496415869130753,0.9527061546226766,0.6832897008284414,0.5875483355341103,0.9454360632872166,0.0446105175519316,0.9946630838960344,0.000373776062051,0.000373776062051,0.0,0.0,0.0700140686078314,0.0652254959201898,0.0245354909537456,0.1035387704518278,0.0023261519747961,0.9671451242973714,0.0327814369157155,nonuniformity_degradation
IRCLT-0341,21,67,nonuniformity_degradation,degraded,23010735427.47831,14.955019644967818,0.9692211340756248,0.9692211340756248,1.0257636704442172,0.974883424723884,0.683450482730464,0.5971009762437135,0.9604169828109388,0.0423438431831247,0.9994316625806554,0.0003971294919389,0.0003971294919389,0.0,0.0,0.0722608862020052,0.0676948323733942,0.0253669657145054,0.112350900029768,0.0,0.9639991569515554,0.023902753941208,nonuniformity_degradation
IRCLT-0341,22,70,nonuniformity_degradation,degraded,21433945160.875656,14.45164170440415,0.9660300754299712,0.9660300754299712,1.024105054913495,0.9764623221047072,0.6774429480266886,0.6072408561406141,0.9610037045403348,0.043894534278483,0.9929069477717734,0.0003881299520349,0.0003881299520349,0.0,0.0,0.0741785366566493,0.0697332909550361,0.0246958094534069,0.1184514623881275,0.0,0.9614319956489908,0.0240907565757351,nonuniformity_degradation
IRCLT-0341,23,74,nonuniformity_degradation,degraded,24581689901.35716,15.740979543666771,0.9763942886532496,0.9763942886532496,1.0397985238042595,0.9617247737007256,0.6763350868098571,0.6108813960442455,0.9454965386777364,0.0533830568762995,0.9944275611644826,0.0004151971342807,0.0004151971342807,0.0,0.0,0.074169221514875,0.0677144897793102,0.0282572490945831,0.1164326932142779,0.0085526681158741,0.9613135669353672,0.0307641034072949,nonuniformity_degradation
IRCLT-0341,24,78,nonuniformity_degradation,degraded,23410345602.71776,15.291467246291983,0.9863429269479664,0.9863429269479664,1.028962620553446,0.9718526018584932,0.6725642191629585,0.5784940299468412,0.9501431245744018,0.0552299644778133,0.9793185599350333,0.0003931270121599,0.0003931270121599,0.0,0.0,0.0792313371847447,0.0727661989890685,0.0272609185740996,0.1323833466334933,0.0097385803271141,0.9531848924119148,0.0295709168378385,nonuniformity_degradation
IRCLT-0341,25,83,nonuniformity_degradation,degraded,23611878976.726143,14.849383259586295,0.9907311785124338,0.9907311785124338,1.035334756079764,0.9658711775372468,0.6820892922188617,0.603510845687907,0.950872504816437,0.0668895411066696,0.9975894378260756,0.0004467352824388,0.0004467352824388,0.0,0.0,0.0763299351882424,0.0712568814676266,0.0281836317811988,0.127138189493329,0.0,0.9581941360385948,0.0299900224947307,nonuniformity_degradation
IRCLT-0341,26,88,nonuniformity_degradation,degraded,22439542842.925262,15.045062077211806,0.9926898163483368,0.9926898163483368,1.0268229127388138,0.973877761777569,0.6614838817195687,0.5796371527960672,0.9376417228717456,0.05169163242067,0.964225256115838,0.0004461695871212,0.0004461695871212,0.0,0.0,0.0760267096100719,0.0706135743752066,0.0287098897413806,0.1257222536160531,0.0015334692588547,0.9583149458294684,0.026469895885274,nonuniformity_degradation
IRCLT-0341,27,93,nonuniformity_degradation,degraded,23746106221.54882,16.372662902006596,0.9591977482233316,0.9591977482233316,1.042702282255032,0.95904652461038,0.6770904409186765,0.5648605026323964,0.9457032874047469,0.0571733840585202,0.9793621211824448,0.0004220700787925,0.0004220700787925,0.0,0.0,0.0765744227506406,0.0720633722203369,0.0250613918350206,0.1265965886097651,0.0,0.9453904063198206,0.0427629380470482,nonuniformity_degradation
